Date,GDP,GDP per capita,Consumer_Confidence_Index,Population,US_Bonds_Rate_1y,Consumer_Price_Index,US_Trade_Balance,AAA_Bond_Rate,US_Debt,Credit_Card_Transactions,Corporate_Profits,Unemployment_Rate,BAA_Bond_Rate,US_Market_Cap,Effective_Rate,Market_Stress,US_Bonds_Rate_10y,PMI_Manufacturing,Money_Velocity,House_DEM,House_REP,Senate_DEM,Senate_REP,President_DEM,President_REP,Composite_VIX,DJI_close,DJI_volume,IXIC_close,IXIC_volume,SPX_close,SPX_volume,SPX-RSI,DJI-RSI,IXIC-RSI,SPX-MACD,SPX-MACDsignal,SPX-MACDhist,DJI-MACD,DJI-MACDsignal,DJI-MACDhist,IXIC-MACD,IXIC-MACDsignal,IXIC-MACDhist,SPX-BBupper,SPX-BBlower,SPX-BBmiddle,DJI-BBupper,DJI-BBlower,DJI-BBmiddle,IXIC-BBupper,IXIC-BBlower,IXIC-BBmiddle
1973-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.25,274460000,,,,,,,,,,,,,,,,,,,,,
1973-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.43,329070000,,,,,,,,,,,,,,,,,,,,,
1973-10-01,,,98.5480250517242,212092.0,8.82,45.0,8.67,7.68,,1664750.0,,4.8,8.53,5.47903012161879,10.5,,7.4,18629.0,,1.0,0.0,1.0,0.0,0.0,1.0,15.29800533802568,887.57,274460000.0,104.87,1.0,108.290001,422900000,,,,,,,,,,,,,,,,,,,,,
1973-11-01,,,98.629423873398,212289.0,8.31,45.2,8.29,7.63,,1670200.0,,4.8,8.63,5.61588884367319,10.78,,7.09,18609.0,,1.0,0.0,1.0,0.0,0.0,1.0,15.315558919103202,947.1,329070000.0,111.2,1.0,95.959999,399900000,,,,,,,,,,,,,,,,,,,,,
1973-12-01,5731.632,26946.0,98.5520792057591,212475.0,7.4,45.6,7.22,7.6,31.77379,1664250.0,106.253,4.6,8.41,5.86977279187503,10.01,,6.79,18702.0,5.657,1.0,0.0,1.0,0.0,0.0,1.0,16.727257074858006,956.58,422900000.0,110.17,1.0,97.550003,384380000,,,,,,,,,,,,,,,,,,,,,
1974-01-01,5731.632,26946.0,98.1967022595199,212634.0,7.57,45.9,7.83,7.67,31.77379,1706000.0,106.253,4.8,8.42,5.4061315239976,10.03,,6.73,18773.0,5.657,1.0,0.0,1.0,0.0,0.0,1.0,25.399710849814312,822.25,399900000.0,93.51,1.0,96.57,363150000,,,,,,,,,,,,,,,,,,,,,
1974-02-01,5731.632,26946.0,97.7513884896356,212785.0,7.27,46.3,7.45,7.68,31.77379,1765800.0,106.253,4.9,8.48,4.99026665661411,9.95,,6.74,18820.0,5.657,1.0,0.0,1.0,0.0,0.0,1.0,30.147137468611348,850.86,384380000.0,92.19,1.0,96.220001,256810000,,,,,,,,,,,,,,,,,,,,,
1974-03-01,5682.353,26660.0,97.479131954006,212932.0,7.42,46.8,7.77,7.83,31.76449,1957000.0,112.656,5.1,8.48,5.08955923431344,9.65,,6.99,18788.0,5.622,1.0,0.0,1.0,0.0,0.0,1.0,24.103887920692472,855.55,363150000.0,94.93,1.0,93.980003,309600000,,,,,,,,,,,,,,,,,,,,,
1974-04-01,5682.353,26660.0,97.5752764958219,213074.0,6.88,47.3,7.12,7.85,31.76449,2012250.0,112.656,5.2,8.53,4.95210940306063,8.97,,6.96,18727.0,5.622,1.0,0.0,1.0,0.0,0.0,1.0,20.320023271400515,860.53,256810000.0,94.35,1.0,90.309998,254270000,,,,,,,,,,,,,,,,,,,,,
1974-05-01,5682.353,26660.0,97.8519096916571,213211.0,7.76,47.8,7.96,8.01,31.76449,2055600.0,112.656,5.1,8.62,5.16450439557506,9.35,,7.21,18700.0,5.622,1.0,0.0,1.0,0.0,0.0,1.0,18.702975049192112,846.68,309600000.0,92.27,1.0,87.279999,275150000,,,,,,,,,,,,,,,,,,,,,
1974-06-01,5695.859,26666.0,98.0536220270508,213361.0,8.62,48.1,8.33,8.25,30.99462,2066000.0,115.543,5.1,8.87,4.87320763888336,10.51,,7.51,18702.0,5.714,1.0,0.0,1.0,0.0,0.0,1.0,18.652769962280573,836.75,254270000.0,86.86,1.0,86.0,245340000,,,,,,,,,,,,,,,,,,,,,
1974-07-01,5695.859,26666.0,97.9927774192713,213513.0,8.78,48.6,8.23,8.37,30.99462,2051750.0,115.543,5.1,9.05,4.68892275747936,11.31,,7.58,18688.0,5.714,1.0,0.0,1.0,0.0,0.0,1.0,19.81680062153365,802.17,275150000.0,80.2,1.0,79.309998,274090000,,,,,,,,,,,,,,,,,,,,,
1974-08-01,5695.859,26666.0,97.7597045993203,213686.0,8.67,49.0,7.9,8.47,30.99462,2076200.0,115.543,5.4,9.27,4.66797755781821,11.93,,7.54,18690.0,5.714,1.0,0.0,1.0,0.0,0.0,1.0,21.47102792179421,802.41,245340000.0,75.96,1.0,72.150002,280100000,,,,,,,,,,,,,,,,,,,,,
1974-09-01,5642.025,26347.0,97.4756136972695,213854.0,8.8,49.3,7.55,8.72,30.86269,2122750.0,121.06,5.5,9.48,4.28479540779126,12.92,,7.81,18656.0,5.775,1.0,0.0,1.0,0.0,0.0,1.0,27.290053608903484,757.43,274090000.0,69.99,1.0,63.540001,280050000,,,,,,,,,,,,,,,,,,,,,
1974-10-01,5642.025,26347.0,97.2177410409674,214042.0,9.36,49.9,8.96,9.0,30.86269,2173800.0,121.06,5.5,9.77,3.94704986272169,12.01,,8.04,18570.0,5.775,1.0,0.0,1.0,0.0,0.0,1.0,26.723328477344488,678.58,280100000.0,62.37,1.0,73.900002,377100000,25.762662416526133,,,,,,,,,,,,,,,,,,,,
1974-11-01,5642.025,26347.0,96.995512035647,214246.0,8.87,50.6,8.06,9.24,30.86269,2279500.0,121.06,5.9,10.18,3.53450314524902,11.34,,8.04,18492.0,5.775,1.0,0.0,1.0,0.0,0.0,1.0,33.900781010414654,607.87,280050000.0,55.67,1.0,69.970001,286790000,24.131427185098794,,,,,,,,,,,,,,,,,,,,
1974-12-01,5620.126,26177.0,96.8124596247813,214451.0,8.05,51.0,7.46,9.27,30.79768,2448750.0,107.908,6.0,10.48,3.62613284456668,10.06,,7.9,18364.0,5.851,1.0,0.0,1.0,0.0,0.0,1.0,35.38412984702013,665.52,377100000.0,65.23,1.0,68.559998,315150000,23.555159899103213,29.90170344490505,24.226267880364112,,,,,,,,,,,,,,,,,,
1975-01-01,5620.126,26177.0,96.6924990987586,214625.0,7.66,51.5,7.47,8.89,30.79768,2803600.0,107.908,6.6,10.6,3.76153800405817,9.45,,7.68,18077.0,5.851,1.0,0.0,1.0,0.0,0.0,1.0,24.988859479755128,618.66,286790000.0,62.95,1.0,76.980003,432550000,33.732180118068584,27.398731972587736,23.47666776526241,,,,,,,,,,,,,,,,,,
1975-02-01,5620.126,26177.0,96.667026310302,214782.0,7.31,51.9,7.15,8.89,30.79768,3291250.0,107.908,7.2,10.63,3.50644762702634,8.53,,7.43,17693.0,5.851,1.0,0.0,1.0,0.0,0.0,1.0,25.671235623156324,616.24,315150000.0,59.82,1.0,81.589996,423640000,38.55531474668555,27.271770756836673,22.449720276030444,,,,,,,,,,,,,,,,,,
1975-03-01,5551.713,25806.0,96.8188959616859,214931.0,6.83,52.3,6.26,8.83,31.53604,3619250.0,94.707,8.1,10.81,3.81839867418611,7.13,,7.5,17344.0,5.875,1.0,0.0,1.0,0.0,0.0,1.0,24.0474783132256,703.69,432550000.0,69.78,1.0,83.360001,453610000,40.35043237612576,38.38317734142371,32.55930881892929,,,,,,,,,,112.83253702819711,86.7100003,60.5874635718029,,,,,,
1975-04-01,5551.713,25806.0,97.2319121531882,215065.0,5.98,52.6,5.5,8.62,31.53604,3856500.0,94.707,8.1,10.65,4.20644876964639,6.24,,7.39,17004.0,5.875,1.0,0.0,1.0,0.0,0.0,1.0,20.78868615250152,739.05,423640000.0,73.0,1.0,87.300003,451350000,44.25456472331965,42.22670731076934,35.48734374187803,,,,,,,,,,110.72317630314224,85.86250045,61.00182459685776,,,,,,
